Name,Latitude,Longitude
"Indira Gandhi Medical College, Shimla",77.1800631,31.1064947
Dr.Rajendra Prasad Govt. Med. College,76.2964996,32.0991996
Sher-e- Kashmir Institute of Medical Sciences,74.7978578,34.1361494
Government medical college,74.763815,34.0859652
MGM medical college,86.2302073,22.8436689
Bangalore Medical College & Research Institute,77.5725327,12.959401
 National Institute of Virology Field Unit ,77.588648,12.9373335
 Mysore Medical College & Research Institute,76.648216,12.3150281
" Hassan Inst. of Med. Sciences, Hassan",76.1004978,13.004869
"Shimoga Inst. of Med. Sciences, Shivamogga,",75.5646635,13.9326578
National Institute of Virology Field Unit,76.1336157,8.9866611
 Govt. Medical College,76.9260968,8.5234373
 Govt. Medical College,75.8350092,11.2722163
All India Institute Medical Sciences,77.4579735,23.2067631
National Institute of Research in Tribal Health (NIRTH),79.8763977,23.1472266
NEIGRI of Health and Medical Sciences,91.9380113,25.5909287
Indira Gandhi Government Medical College,79.0917848,21.153423
kasturba Hospital for Infectious Diseases,72.82766,18.9840415
"J N Inst. of Med. Sciences Hospital,",93.9589459,24.8100793
Regional medical research centre,85.8173163,20.3166547
Jawahar institute of medical education and research,79.7975076,11.9503075
 Govt. Medical College,76.3829397,30.3280673
 Govt. Medical College,74.8830371,31.6538577
"Sawai Man Singh, Jaipur",75.8136993,26.9054563
 Dr. S.N Medical College,73.0052203,26.2694262
"Jhalawar Medical College, Jhalawar",76.1588493,24.5855651
 SP  Med. College,73.3283255,28.0063936
King's Institute of Preventive Medicine & Research,80.2154219,13.0124465
 Government Medical College,77.5515052,10.0061978
 Govt. Medical College,91.2908439,23.8604381
Gandhi medical college,78.502203,17.4246649
King's George Medical University,80.9140515,26.8692639
"Institute of Medical Sciences, Banaras Hindu University",82.9973367,25.2744595
Jawaharlal Nehru Medical College,78.0835518,27.9186087
 Govt. Medical College,79.5209443,29.204569
Indira Gandhi Government Medical College,88.3963642,79.5209443
" Kasturba Hospital for Infectious Diseases,",88.3396558,22.5394842
